video_id,languages_all,languages_non_auto,has_auto_dub,source,fetched_at,status,error
c_DfU24iFdQ,en,en,unknown,youtubei.js,2025-12-31,ok,
BPGyAxx6oNA,en,en,unknown,youtubei.js,2025-12-31,ok,
2FT1Q-9Gxgo,de-DE|en|en-US|es-US|fr-FR|id|it|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
iQywPm7kTBU,en,en,unknown,youtubei.js,2025-12-31,ok,
KLQiG4b2J9o,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|uk,en-US,true,youtubei.js,2025-12-31,ok,
z6xN7j8-2Q4,en,en,unknown,youtubei.js,2025-12-31,ok,
Ta3kEWOg8_4,en,en,unknown,youtubei.js,2025-12-31,ok,
4KqfLdzYjFs,en,en,unknown,youtubei.js,2025-12-31,ok,
XWUXAuwpc0A,en,en,unknown,youtubei.js,2025-12-31,ok,
K24iv1RQpD4,en,en,unknown,youtubei.js,2025-12-31,ok,
eQkFhU_Zqmo,en,en,unknown,youtubei.js,2025-12-31,ok,
gW-GwBBWB3Y,en,en,unknown,youtubei.js,2025-12-31,ok,
YUyoo3_D5rM,en,en,unknown,youtubei.js,2025-12-31,ok,
PpQPITY43ig,en,en,unknown,youtubei.js,2025-12-31,ok,
Ezw0XjmocKg,en,en,unknown,youtubei.js,2025-12-31,ok,
-6mLOJ3hYGI,en,en,unknown,youtubei.js,2025-12-31,ok,
k6pIipeATVk,en,en,unknown,youtubei.js,2025-12-31,ok,
Q1nYj95qlQw,ar,ar,unknown,youtubei.js,2025-12-31,ok,
a7Jf9Teah-w,en,en,unknown,youtubei.js,2025-12-31,ok,
wVdP1mBg3XE,en,en,unknown,youtubei.js,2025-12-31,ok,
19muUEriwCA,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
l5FMC0bX1Kc,de-DE|en|en-US|es-US|hi|it|ja|ml|nl-NL|uk,en-US,true,youtubei.js,2025-12-31,ok,
tSYWY4WU3dA,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
BlbElEybqPY,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
m-5_s7D1TU0,en,en,unknown,youtubei.js,2025-12-31,ok,
trujmIC2pZQ,en,en,unknown,youtubei.js,2025-12-31,ok,
XlHfKjzlTbo,en,en,unknown,youtubei.js,2025-12-31,ok,
JGiYhdvCbzQ,en,en,unknown,youtubei.js,2025-12-31,ok,
0pChDVHXMkE,ar,ar,unknown,youtubei.js,2025-12-31,ok,
pChbq6LZQ8c,en,en,unknown,youtubei.js,2025-12-31,ok,
D4aktmufDhc,en,en,unknown,youtubei.js,2025-12-31,ok,
ZG3_cxQH8bI,en,en,unknown,youtubei.js,2025-12-31,ok,
U8p3Cu0Ruws,en,en,unknown,youtubei.js,2025-12-31,ok,
UPApeAyLkn8,en,en,unknown,youtubei.js,2025-12-31,ok,
pB66bvd_75U,en,en,unknown,youtubei.js,2025-12-31,ok,
avsmrxwcDx8,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
3VkowXzc0M4,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
boGfv6uLApc,en,en,unknown,youtubei.js,2025-12-31,ok,
2_XA64T6jp4,en,en,unknown,youtubei.js,2025-12-31,ok,
9zjmYRnGjLc,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
FyrIppBajFg,en,en,unknown,youtubei.js,2025-12-31,ok,
hy0LufIle9A,en,en,unknown,youtubei.js,2025-12-31,ok,
5wHC4EI6ITU,en,en,unknown,youtubei.js,2025-12-31,ok,
99x4uRK-EaI,en,en,unknown,youtubei.js,2025-12-31,ok,
0s2_gDHDncQ,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
8thuCC1N14M,en,en,unknown,youtubei.js,2025-12-31,ok,
pRHDYB-ObSE,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
jOrfHSXUN2k,en,en,unknown,youtubei.js,2025-12-31,ok,
346UUyFbazY,en,en,unknown,youtubei.js,2025-12-31,ok,
g377y8TnlD8,en,en,unknown,youtubei.js,2025-12-31,ok,
dM8_K4NGt00,en,en,unknown,youtubei.js,2025-12-31,ok,
y382_mMfvFQ,en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
E-Kkz_jjiZw,en,en,unknown,youtubei.js,2025-12-31,ok,
ra8H35qagoo,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
-QAxRL4Qxso,en,en,unknown,youtubei.js,2025-12-31,ok,
v91IRzpsJXs,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
MfSICk-HTAU,en,en,unknown,youtubei.js,2025-12-31,ok,
5GP1es2gcvc,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
n1N29sEfUL8,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
xP5gCPjPxaQ,en,en,unknown,youtubei.js,2025-12-31,ok,
9TcuHokKrfQ,en,en,unknown,youtubei.js,2025-12-31,ok,
0r9M6rXxAPU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
249biPrqXlQ,en,en,unknown,youtubei.js,2025-12-31,ok,
F3WoPXqyYH8,en,en,unknown,youtubei.js,2025-12-31,ok,
OUiirTAStog,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
tcLovJjIYcw,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
t8b50xS-ero,en,en,unknown,youtubei.js,2025-12-31,ok,
CXsek3PhD-k,en,en,unknown,youtubei.js,2025-12-31,ok,
