channel_id,language_code,title,description
UCiYjpuUaSfkvdZkmtDU7JRw,or_IN,MyOnlineTrainingHub,"Teaching you Excel and Power BI skills that will get you noticed and promoted. For more, check out my courses here:  https://www.myonlinetraininghub.com/courses"
UCUHW94eEFW7hkUMVaZz4eDg,en_US,minutephysics,"Simply put: cool physics and other sweet science.

""If you can't explain it simply, you don't understand it well enough.""
~Rutherford via Einstein? (wikiquote)

Created by Henry Reich"
UCUHW94eEFW7hkUMVaZz4eDg,es_ES,MinutoDeFísica,
