topicID,lang,name,typeID,layer,description,version,url
QUT1,en,Queer theory,1,4,Field of critical theory – study of issues related to sexual orientation and gender identity,1,https://en.wikipedia.org/wiki/Quantum_computing
QUI1,en,Quinology,1,4,study of quinine.,1,https://en.wikipedia.org/wiki/Quantum_computing
RAD3,en,Radiology,1,4,Medical specialty for imaging procedures,1,https://en.wikipedia.org/wiki/Radiobiology
RHE1,en,Rheology,1,4,"Study of the flow of matter, primarily in a fluid state",1,https://en.wikipedia.org/wiki/Radiobiology
RHE2,en,Rheumatology,1,4,Medical speciality of inflammatory diseases,1,https://en.wikipedia.org/wiki/Radiobiology
RHI1,en,Rhinology,1,4,Study of the nose and sinuses,1,https://en.wikipedia.org/wiki/Radiobiology
ROB1,en,Robotics,1,4,"Design, construction, use, and application of robots",1,https://en.wikipedia.org/wiki/Radiobiology
RUN1,en,Runology,1,4,Study of Runic alphabets,1,https://en.wikipedia.org/wiki/Radiobiology
SAR1,en,Sarcology,1,4,study of fleshy parts of the body,1,https://en.wikipedia.org/wiki/Radiobiology
SCR1,en,Scripophily,1,4,Study and collection of stock and bond certificates,1,https://en.wikipedia.org/wiki/Science_communication
SEL1,en,Selenodesy,1,4,Study of the surface and shape of the Moon,1,https://en.wikipedia.org/wiki/Sociolinguistics
SEL2,en,Selenology,1,4,Structure and composition of the Moon – study of the Moon,1,https://en.wikipedia.org/wiki/Sociolinguistics
SEM3,en,Semiotics,1,4,Study of signs and sign processes,1,https://en.wikipedia.org/wiki/Sociolinguistics
SER1,en,Serology,1,4,Scientific study of serum and other bodily fluids,1,https://en.wikipedia.org/wiki/Sociolinguistics
SID1,en,Siderology,1,4,"study of iron and its alloys, including steel",1,https://en.wikipedia.org/wiki/Sociolinguistics
SIN2,en,Sindonology,1,4,Scientific analysis of the Shroud.of Turin,1,https://en.wikipedia.org/wiki/Sociolinguistics
SIT1,en,Sitology,1,4,Expert in nutrition and malnutrition – dietetics,1,https://en.wikipedia.org/wiki/Sociolinguistics
SHL1,en,Snow hydrology,1,4,Field of snow science concerning its composition and dispersion,1,https://en.wikipedia.org/wiki/Sociolinguistics
SCE1,en,Socioeconomics,1,4,Branch of sociology – study of the relationship between economy and society,1,https://en.wikipedia.org/wiki/Scatology
SPH1,en,Sphagnology,1,4,study of peat moss,1,https://en.wikipedia.org/wiki/Solid_mechanics
SPH2,en,Sphygmology,1,4,Study of the pulse,1,https://en.wikipedia.org/wiki/Solid_mechanics
SPL2,en,Splanchnology,1,4,Study of the visceral organs,1,https://en.wikipedia.org/wiki/Speleology
STA3,en,Stasiology,1,4,study of political parties,1,https://en.wikipedia.org/wiki/Stellar_astronomy
STM1,en,Stomatology,1,4,Study of oral medicine – study of the mouth,1,https://en.wikipedia.org/wiki/Stomatology
SUI1,en,Suicidology,1,4,Scientific study of suicide and self-destructive behaviors,1,https://en.wikipedia.org/wiki/Somatology
SYM1,en,Symptomatology,1,4,"Indications of a specific illness, including psychiatric – study of symptoms of illness",1,https://en.wikipedia.org/wiki/Somatology
SYN3,en,Synecology,1,4,Associated populations of species in a given area – study of ecological communities,1,https://en.wikipedia.org/wiki/Symbology
